"","Saline/Ro","Ro+Rapa/Ro"
"Abl2",-0.434363114569331,-0.387264160282792
"Aftph",-0.262605436417955,-0.231876431367056
"Arap2",-0.351743839490441,-0.279920204646485
"Arhgap5",-0.408297042096125,-0.5996679894476
"Arl4a",-0.372145475169731,-0.667965951999855
"Birc2",-0.48585344201047,-0.372748664772597
"Brk1",-0.489339905240339,-0.638627332588605
"Cops2",-0.486175793766885,-0.658996644148806
"Cyb5r4",-0.413549498720902,-0.303658325880585
"Dlg1",-0.284226117929173,-0.220252656006171
"Epc2",-0.281934187093944,-0.343994620360805
"Erbin",-0.298413800378901,-0.520719424078504
"Fam212b",-0.574178494323118,-0.496884618049562
"Fat3",-0.384699598846895,-0.377667259934544
"Fmr1",-0.309283266170718,-0.572730162246725
"Fnta",-0.439988926504079,-0.566148083449895
"Grin2a",-0.472664288603372,-0.398899063451552
"Hecw2",-0.408861925005795,-0.787176539607826
"Hipk2",-0.440460834482274,-0.600233671354244
"Irs1",-0.493879216970144,-0.446565262523672
"Kcnh1",-0.407458786431883,-0.433014635703723
"March8",-0.332252282532552,-0.348614242209428
"Mdga2",-0.497822507594889,-0.783963377461489
"Mobp",-0.795252863019062,-0.976740288006615
"Mtmr6",-0.303816523576081,-0.263539733160068
"Myo9a",-0.351883808405404,-0.316236660662762
"Noct",-0.541660643493671,-0.452055351562009
"Nr3c1",-0.273528016259577,-0.30176556365384
"Ntrk3",-0.42193488982304,-0.455448392322738
"Pkn2",-0.360622162162055,-0.334632448969405
"Pou3f3",-0.350131721260805,-0.225108073370725
"Ppp1r16b",-0.341321154012858,-0.288288243316872
"Prex2",-0.515948372068005,-0.450162633159252
"Psmc2",-0.315502451480503,-0.478179060378525
"Pum2",-0.372576335500503,-0.439313411332018
"Rab11fip2",-0.241753330992307,-0.375494440577842
"Rb1cc1",-0.365280382415884,-0.270752652186134
"Rlf",-0.487145806484519,-0.486156663503748
"Rn7sk",-1.60270241648395,-1.71925219719938
"Rnf19a",-0.380285278156117,-0.349158498460083
"Rpl12",-0.997811487268521,-1.32326404650315
"Rpl15",-0.424976981208067,-0.569022870336411
"Rpl17",-0.44159274268329,-0.670744784555284
"Rpl18a",-0.546440075156096,-0.952063777907522
"Rpl31",-0.781550515275472,-1.02736633455761
"Rpl37",-0.442367862999218,-0.905967611467966
"Rpl38",-0.910965478109137,-1.39463305710428
"Rps11",-0.472608948644958,-0.679761806665
"Rps17",-0.577717303679921,-0.975559147508217
"Rps21",-0.876294314206323,-1.31133762247652
"Rps23",-0.84822369040018,-1.30905755989726
"Rps27a",-0.731067485960217,-1.39171061281808
"Rps3",-0.629081680975718,-0.950790151162346
"Rps7",-0.876532140750607,-1.1229874323116
"Rps9",-0.561761018021159,-0.702194290870757
"Sacs",-0.477904076446322,-0.400056484112698
"Scn1a",-0.317251747756931,-0.333170908072047
"Sema7a",-0.291546261070479,-0.30159806224858
"Setx",-0.364164141089899,-0.338488764804824
"Slitrk4",-0.394735860676698,-0.68327903380026
"Sptbn1",-0.422311215520104,-0.324099458735665
"Tmem178b",-0.376666171173932,-0.489810452093504
"Tpt1",-0.351412283029266,-0.643622345811329
"Trps1",-0.544093670876074,-0.671985570671614
"Tsc1",-0.312366600502937,-0.23618056314281
"Ttbk2",-0.392406568721318,-0.387571961908792
"Tug1",-0.383751819268712,-0.485768196825585
"Usf3",-0.611447317117173,-0.680321449439823
"Wnk1",-0.465056392396422,-0.43661454487926
"X2610507B11Rik",-0.380434457582222,-0.312179716003445
"X5031439G07Rik",-0.299946852367572,-0.326871562464005
"Zbtb20",-0.742569002647817,-0.734619507939223
"Zbtb38",-0.362912963611825,-0.363983976092532
"Zbtb41",-0.377854689912106,-0.402111256388536
"Zfp644",-0.381347498729262,-0.310148155464415
"Zfp651",-0.285364292039574,-0.279722795781518
"Zzz3",-0.413946716249593,-0.362745898567486
